"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Fev 22","19,18","19,93","20,19","19,06","2,32M","-3,28%"
"Jan 22","19,83","21,42","21,43","18,53","48,86M","-5,21%"
"Dez 21","20,92","22,31","22,91","20,31","38,98M","-6,02%"
"Nov 21","22,26","23,27","25,18","21,95","44,37M","-4,63%"
"Out 21","23,34","24,57","24,85","22,35","66,70M","-5,62%"
"Set 21","24,73","28,57","28,66","24,73","60,01M","-13,50%"
"Ago 21","28,59","26,00","29,68","25,95","76,50M","10,69%"
"Jul 21","25,83","26,67","27,22","25,12","44,45M","-2,08%"
"Jun 21","26,38","26,54","27,56","25,46","44,25M","0,61%"
"Mai 21","26,22","24,17","26,81","24,13","44,56M","7,64%"
"Abr 21","24,36","23,01","24,52","22,05","39,42M","8,90%"
"Mar 21","22,37","21,00","23,39","19,83","51,61M","7,81%"
"Fev 21","20,75","23,28","24,76","20,75","41,86M","-9,55%"
"Jan 21","22,94","23,44","24,20","21,92","49,14M","-1,67%"
"Dez 20","23,33","22,85","24,05","21,88","63,73M","3,37%"
"Nov 20","22,57","22,71","25,10","22,35","95,37M","1,17%"
"Out 20","22,31","22,81","24,93","22,23","41,70M","-1,72%"
"Set 20","22,70","25,00","25,68","22,40","33,99M","-8,73%"
"Ago 20","24,87","25,78","28,20","24,87","50,42M","-2,16%"
"Jul 20","25,42","23,81","26,54","23,81","29,89M","7,17%"
"Jun 20","23,72","22,12","25,74","21,46","36,75M","7,82%"
"Mai 20","22,00","20,79","22,00","18,36","39,30M","4,46%"
"Abr 20","21,06","20,08","22,95","19,24","27,22M","3,08%"
"Mar 20","20,43","27,74","28,60","20,09","41,31M","-26,35%"
"Fev 20","27,74","30,00","31,04","26,62","28,86M","-7,78%"
"Jan 20","30,08","28,66","30,47","28,42","27,19M","5,40%"
"Dez 19","28,54","27,29","29,15","26,72","20,38M","4,58%"
"Nov 19","27,29","26,11","27,64","25,06","35,43M","4,52%"
"Out 19","26,11","26,54","26,70","24,59","26,18M","-1,43%"
"Set 19","26,49","25,21","26,98","24,94","36,37M","5,16%"
"Ago 19","25,19","23,33","25,40","23,28","48,57M","7,51%"
"Jul 19","23,43","23,44","25,26","22,65","26,21M","0,77%"
"Jun 19","23,25","23,52","25,00","22,94","27,29M","-1,15%"
"Mai 19","23,52","24,05","24,30","21,68","32,09M","-2,04%"
"Abr 19","24,01","23,81","25,32","23,06","21,83M","2,00%"
"Mar 19","23,54","24,75","24,82","23,05","26,51M","-3,96%"
"Fev 19","24,51","24,51","27,76","24,25","39,50M","-0,08%"
"Jan 19","24,53","22,61","25,35","21,05","35,43M","7,54%"
"Dez 18","22,81","22,91","24,62","21,88","20,76M","0,57%"
"Nov 18","22,68","23,13","24,96","22,26","27,67M","-1,61%"
"Out 18","23,05","25,27","26,27","21,48","35,80M","-8,28%"
"Set 18","25,13","23,26","25,87","23,00","27,82M","8,04%"
"Ago 18","23,26","21,15","24,37","20,52","42,39M","10,66%"
"Jul 18","21,02","17,25","21,17","16,35","25,60M","21,93%"
"Jun 18","17,24","17,52","18,39","15,92","29,26M","-2,54%"
"Mai 18","17,69","18,38","19,92","17,19","28,91M","-2,59%"
"Abr 18","18,16","19,47","19,56","17,05","23,80M","-6,78%"
"Mar 18","19,48","18,37","20,39","17,91","21,61M","6,10%"
"Fev 18","18,36","17,72","18,53","16,74","23,05M","3,61%"
"Jan 18","17,72","14,57","18,03","14,51","19,92M","21,62%"
"Dez 17","14,57","14,37","14,86","13,99","14,91M","1,39%"
"Nov 17","14,37","14,32","15,41","13,94","19,75M","0,35%"
"Out 17","14,32","14,80","15,39","14,20","24,38M","-3,24%"
"Set 17","14,80","13,66","15,83","13,33","25,64M","8,35%"
"Ago 17","13,66","12,40","14,20","12,36","26,22M","10,34%"
"Jul 17","12,38","11,89","12,62","11,25","19,22M","5,54%"
"Jun 17","11,73","12,49","12,72","11,28","19,80M","-4,94%"
"Mai 17","12,34","10,97","13,08","10,77","24,73M","12,08%"
"Abr 17","11,01","10,89","11,25","10,80","13,63M","1,10%"
"Mar 17","10,89","11,09","11,70","10,50","22,68M","-1,71%"
"Fev 17","11,08","10,14","11,46","9,71","22,06M","10,03%"
"Jan 17","10,07","10,31","10,94","9,85","16,79M","-2,33%"
"Dez 16","10,31","10,88","10,90","9,71","21,20M","-5,67%"
"Nov 16","10,93","11,52","11,71","10,46","25,83M","-5,45%"
"Out 16","11,56","10,91","11,89","10,91","21,29M","5,19%"
"Set 16","10,99","10,16","11,27","10,15","26,27M","8,28%"
"Ago 16","10,15","10,39","10,98","9,60","24,44M","-2,03%"
"Jul 16","10,36","9,81","10,79","9,27","18,59M","5,07%"
"Jun 16","9,86","9,73","10,15","9,43","25,92M","1,34%"
"Mai 16","9,73","10,25","10,42","9,21","23,34M","-4,70%"
"Abr 16","10,21","9,93","11,47","9,90","25,25M","1,69%"
"Mar 16","10,04","8,70","10,94","8,62","32,96M","15,80%"
"Fev 16","8,67","9,88","9,88","8,18","26,17M","-9,69%"
"Jan 16","9,60","10,55","10,99","8,29","30,65M","-9,09%"
"Dez 15","10,56","12,07","13,07","10,42","20,01M","-10,66%"
"Nov 15","11,82","11,66","12,88","11,27","22,91M","0,68%"
"Out 15","11,74","10,62","12,88","10,61","25,12M","9,93%"
"Set 15","10,68","11,59","12,45","10,47","26,70M","-9,49%"
"Ago 15","11,80","13,82","14,17","10,79","29,41M","-14,55%"
"Jul 15","13,81","14,62","15,14","12,85","20,67M","-5,93%"
"Jun 15","14,68","12,93","14,80","12,44","21,81M","14,33%"
"Mai 15","12,84","13,37","13,99","12,44","23,45M","-3,96%"
"Abr 15","13,37","12,79","13,56","12,38","26,02M","5,44%"
"Mar 15","12,68","10,90","12,77","10,14","24,95M","16,33%"
"Fev 15","10,90","9,49","11,32","9,16","22,41M","15,59%"
"Jan 15","9,43","10,65","10,88","9,43","18,13M","-10,87%"
"Dez 14","10,58","10,73","10,88","9,47","16,98M","-1,58%"
"Nov 14","10,75","10,33","11,12","9,84","16,38M","4,67%"
"Out 14","10,27","9,64","10,45","9,19","24,34M","6,87%"
"Set 14","9,61","11,23","11,53","9,57","16,89M","-14,43%"
"Ago 14","11,23","10,60","11,42","10,35","16,15M","6,65%"
"Jul 14","10,53","10,79","11,37","10,46","16,04M","-2,32%"
"Jun 14","10,78","10,45","11,90","10,37","21,50M","2,18%"
"Mai 14","10,55","11,00","11,57","10,54","24,68M","-4,09%"
"Abr 14","11,00","10,77","11,94","10,22","39,25M","2,04%"
"Mar 14","10,78","10,28","10,91","9,95","28,72M","4,26%"
"Fev 14","10,34","8,96","10,34","8,72","26,85M","15,40%"
"Jan 14","8,96","9,50","9,56","8,76","20,97M","-5,39%"
"Dez 13","9,47","9,43","9,63","8,92","18,71M","1,39%"
"Nov 13","9,34","8,91","9,57","8,42","22,86M","4,94%"
"Out 13","8,90","8,69","9,16","8,56","18,85M","2,53%"
"Set 13","8,68","8,02","8,71","7,94","18,82M","8,91%"
"Ago 13","7,97","7,99","8,61","7,79","18,64M","0,00%"
"Jul 13","7,97","7,35","8,12","6,98","25,12M","8,44%"
"Jun 13","7,35","8,18","8,23","6,97","31,57M","-10,15%"
"Mai 13","8,18","7,71","8,52","7,64","28,17M","5,01%"
"Abr 13","7,79","8,70","8,77","7,32","29,66M","-9,94%"
"Mar 13","8,65","8,01","8,72","7,77","28,75M","7,72%"
"Fev 13","8,03","7,34","8,10","7,12","29,84M","9,85%"
"Jan 13","7,31","7,24","7,60","6,88","33,28M","1,67%"
"Dez 12","7,19","6,82","7,24","6,53","21,52M","5,12%"
"Nov 12","6,84","6,49","7,11","6,46","23,95M","4,43%"
"Out 12","6,55","6,02","6,62","5,97","31,57M","8,99%"
"Set 12","6,01","5,57","6,19","5,49","22,98M","8,68%"
"Ago 12","5,53","5,22","5,96","5,12","17,09M","4,73%"
"Jul 12","5,28","5,03","5,35","4,77","18,89M","4,55%"
"Jun 12","5,05","5,16","5,28","4,84","25,64M","-4,36%"
"Mai 12","5,28","5,52","5,98","5,06","21,56M","-4,69%"
"Abr 12","5,54","5,94","6,03","5,47","13,31M","-6,58%"
"Mar 12","5,93","6,33","6,61","5,64","27,57M","-5,57%"
"Fev 12","6,28","6,11","6,88","6,11","23,77M","3,46%"
"Jan 12","6,07","6,25","6,45","5,89","12,70M","-2,41%"
"Dez 11","6,22","5,42","6,33","5,37","13,91M","14,76%"
"Nov 11","5,42","5,29","5,88","5,17","19,24M","1,69%"
"Out 11","5,33","4,88","5,43","4,75","14,54M","8,55%"
"Set 11","4,91","5,57","5,72","4,71","21,69M","-10,73%"
"Ago 11","5,50","6,16","6,31","4,97","31,37M","-9,69%"
"Jul 11","6,09","6,87","6,87","5,98","17,01M","-10,70%"
"Jun 11","6,82","6,85","7,26","6,71","15,05M","-0,73%"
"Mai 11","6,87","7,49","7,49","6,72","14,79M","-7,66%"
"Abr 11","7,44","7,76","8,14","7,27","19,02M","-3,88%"
"Mar 11","7,74","7,36","7,81","7,06","15,86M","5,16%"
"Fev 11","7,36","7,22","7,50","6,48","14,94M","1,94%"
"Jan 11","7,22","7,91","8,08","6,95","21,89M","-7,55%"
"Dez 10","7,81","7,15","7,86","6,99","23,68M","9,69%"
"Nov 10","7,12","6,91","7,47","6,79","13,37M","4,71%"
"Out 10","6,80","5,91","6,94","5,82","22,48M","15,25%"
"Set 10","5,90","5,82","6,04","5,58","12,89M","1,37%"
"Ago 10","5,82","5,58","5,93","5,50","14,68M","5,63%"
"Jul 10","5,51","5,13","5,68","4,91","11,09M","8,68%"
"Jun 10","5,07","4,97","5,21","4,84","14,39M","-0,98%"
"Mai 10","5,12","4,97","5,33","4,77","17,60M","4,92%"
"Abr 10","4,88","4,90","4,98","4,71","10,47M","-0,41%"
"Mar 10","4,90","4,91","5,16","4,59","14,79M","-0,20%"
"Fev 10","4,91","5,17","5,36","4,76","23,64M","-4,84%"
"Jan 10","5,16","5,51","5,80","5,07","11,58M","-5,67%"
"Dez 09","5,47","5,14","5,47","5,14","9,55M","5,19%"
"Nov 09","5,20","4,85","5,26","4,78","12,15M","5,91%"
"Out 09","4,91","4,76","5,14","4,58","17,41M","2,94%"
"Set 09","4,77","4,54","4,87","4,43","10,70M","3,92%"
"Ago 09","4,59","4,45","4,96","4,11","27,14M","3,61%"
"Jul 09","4,43","4,15","4,48","4,04","17,67M","8,85%"
"Jun 09","4,07","3,96","4,23","3,75","14,05M","2,52%"
"Mai 09","3,97","3,58","3,98","3,39","13,18M","13,43%"
"Abr 09","3,50","3,18","3,54","3,12","21,19M","10,76%"
"Mar 09","3,16","3,02","3,23","2,74","20,89M","2,60%"
"Fev 09","3,08","3,69","3,71","2,95","8,97M","-15,15%"
"Jan 09","3,63","3,50","3,86","3,39","18,69M","8,68%"
"Dez 08","3,34","2,82","3,47","2,75","16,56M","18,02%"
"Nov 08","2,83","2,82","3,11","2,66","16,65M","2,91%"
"Out 08","2,75","3,53","3,62","2,43","21,76M","-20,52%"
"Set 08","3,46","4,34","4,35","3,24","16,49M","-19,72%"
"Ago 08","4,31","5,09","5,09","4,23","18,23M","-15,32%"
"Jul 08","5,09","4,64","5,25","4,41","12,43M","7,38%"
"Jun 08","4,74","4,94","5,12","4,58","14,12M","-3,66%"
"Mai 08","4,92","4,94","5,23","4,52","21,97M","2,07%"
"Abr 08","4,82","4,64","4,99","4,30","19,98M","5,70%"
"Mar 08","4,56","5,42","5,59","4,48","24,55M","-16,18%"
"Fev 08","5,44","4,82","5,51","4,64","23,29M","14,05%"
"Jan 08","4,77","5,51","5,52","4,37","45,30M","-7,74%"
"Dez 07","5,17","5,40","5,70","4,58","33,96M","-3,00%"
"Nov 07","5,33","6,04","6,27","4,94","17,29M","-12,77%"
"Out 07","6,11","5,49","6,11","5,48","21,58M","10,69%"
"Set 07","5,52","5,20","5,55","4,98","16,90M","5,95%"
"Ago 07","5,21","5,67","5,67","4,41","37,23M","-7,95%"
"Jul 07","5,66","5,81","6,23","5,33","14,41M","-2,41%"
"Jun 07","5,80","5,88","6,28","5,78","12,90M","-1,36%"
"Mai 07","5,88","5,52","5,92","5,37","16,81M","7,30%"
"Abr 07","5,48","5,40","5,63","5,29","14,65M","2,81%"
"Mar 07","5,33","5,41","5,63","5,13","18,37M","-2,74%"
"Fev 07","5,48","5,45","5,91","5,28","20,75M","0,55%"
"Jan 07","5,45","5,21","5,64","4,82","16,73M","3,81%"
"Dez 06","5,25","4,33","5,25","4,33","19,92M","21,25%"
"Nov 06","4,33","3,80","4,47","3,78","25,33M","13,95%"
"Out 06","3,80","3,59","3,84","3,45","29,43M","7,95%"
"Set 06","3,52","3,56","3,72","3,29","16,88M","-1,40%"
"Ago 06","3,57","3,06","3,60","3,06","16,43M","14,42%"
"Jul 06","3,12","2,90","3,20","2,88","20,64M","7,59%"
"Jun 06","2,90","2,92","3,06","2,43","30,04M","1,40%"
"Mai 06","2,86","3,37","3,68","2,59","24,62M","-14,63%"
"Abr 06","3,35","2,95","3,45","2,95","11,98M","13,56%"
"Mar 06","2,95","2,45","3,13","2,45","37,33M","20,41%"
"Fev 06","2,45","2,33","2,62","2,33","9,06M","4,26%"
"Jan 06","2,35","1,90","2,37","1,90","8,38M","19,90%"
"Dez 05","1,96","2,06","2,06","1,88","15,21M","-2,97%"
"Nov 05","2,02","1,69","2,10","1,69","8,92M","14,77%"
"Out 05","1,76","1,74","1,87","1,70","4,21M","1,15%"
"Set 05","1,74","1,70","1,75","1,65","14,36M","1,75%"
"Ago 05","1,71","1,58","1,74","1,58","9,40M","7,55%"
"Jul 05","1,59","1,66","1,68","1,51","6,33M","-3,64%"
"Jun 05","1,65","1,78","1,88","1,60","6,24M","-6,25%"
"Mai 05","1,76","1,75","1,76","1,58","7,90M","0,57%"
"Abr 05","1,75","1,88","2,12","1,65","9,77M","-6,91%"
"Mar 05","1,88","1,88","2,02","1,80","17,79M","-2,08%"
"Fev 05","1,92","1,63","2,12","1,61","17,49M","19,25%"
"Jan 05","1,61","1,57","1,79","1,57","19,80M","0,00%"
"Dez 04","1,61","1,48","1,61","1,46","23,17M","9,52%"